date,1. open,2. high,3. low,4. close,5. volume
2025-03-28 15:27:00,377.62,377.67,377.57,377.6,22550.0
2025-03-28 15:26:00,377.73,377.745,377.55,377.64,22005.0
2025-03-28 15:25:00,377.63,377.79,377.615,377.7,36623.0
2025-03-28 15:24:00,377.74,377.76,377.4915,377.63,72554.0
2025-03-28 15:23:00,377.74,377.8,377.7204,377.79,29788.0
2025-03-28 15:22:00,377.845,377.93,377.7,377.74,41671.0
2025-03-28 15:21:00,377.705,377.88,377.67,377.8,30981.0
2025-03-28 15:20:00,377.89,378.06,377.715,377.715,35503.0
2025-03-28 15:19:00,377.839,378.0,377.76,377.892,44590.0
2025-03-28 15:18:00,377.68,377.8499,377.665,377.81,31177.0
2025-03-28 15:17:00,377.82,377.82,377.66,377.66,29273.0
2025-03-28 15:16:00,377.87,377.88,377.72,377.82,50142.0
2025-03-28 15:15:00,378.1,378.13,377.79,377.87,80763.0
2025-03-28 15:14:00,377.99,378.125,377.96,378.11,32009.0
2025-03-28 15:13:00,378.01,378.04,377.865,377.98,35355.0
2025-03-28 15:12:00,377.825,378.05,377.825,378.02,23107.0
2025-03-28 15:11:00,377.8327,377.93,377.6726,377.825,34466.0
2025-03-28 15:10:00,378.1,378.105,377.81,377.865,35863.0
2025-03-28 15:09:00,378.13,378.14,377.96,378.085,33057.0
2025-03-28 15:08:00,378.085,378.15,378.08,378.11,54761.0
2025-03-28 15:07:00,378.065,378.245,378.05,378.076,40481.0
2025-03-28 15:06:00,378.1,378.19,378.03,378.05,31900.0
2025-03-28 15:05:00,377.99,378.325,377.99,378.09,53234.0
2025-03-28 15:04:00,378.075,378.1997,377.9788,378.0,46867.0
2025-03-28 15:03:00,377.955,378.11,377.93,378.065,20028.0
2025-03-28 15:02:00,378.12,378.13,377.94,377.94,17875.0
2025-03-28 15:01:00,378.18,378.19,377.97,378.115,43316.0
2025-03-28 15:00:00,378.17,378.23,378.09,378.18,41260.0
2025-03-28 14:59:00,378.135,378.25,378.135,378.17,47507.0
2025-03-28 14:58:00,378.15,378.22,378.125,378.135,30253.0
2025-03-28 14:57:00,378.195,378.24,378.12,378.15,52058.0
2025-03-28 14:56:00,378.17,378.36,378.15,378.2,49636.0
2025-03-28 14:55:00,378.2036,378.24,378.1006,378.18,40287.0
